page,text,left,top,width,height,line,conf,model
1,SURPRISE AND QUICK ACTION.,0.2861,0.0155,0.4236,0.0387,1,98.0,VLM
1,Method of attack:,0.0431,0.0696,0.1764,0.0399,2,95.0,VLM
1,"Three prongs, attacking at four lights.",0.2708,0.0644,0.4458,0.0451,3,92.0,VLM
1,First prong BRIDGEHEAD AT REINE,0.2708,0.1147,0.4861,0.0387,4,96.0,VLM
1,ASSAULT there and occupy rest of land joining,0.275,0.1572,0.6347,0.0503,5,94.0,VLM
1,Peninsula with main portion of island.,0.2708,0.1997,0.5375,0.0464,6,93.0,VLM
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.2708,0.2461,0.6806,0.0451,7,95.0,VLM
1,and occupy POST OFFICE,0.2611,0.2848,0.3806,0.0438,8,96.0,VLM
1,Spread out with bridgehead and occupy town,0.2681,0.3273,0.5778,0.0451,9,91.0,VLM
1,SECOND PRONG At Summ to cut line of communication at,0.2569,0.375,0.7181,0.0451,10,93.0,VLM
1,from ANDO to main land.,0.3347,0.4201,0.3931,0.0451,11,94.0,VLM
1,EMU POINT,0.8514,0.4059,0.1306,0.0245,12,97.0,VLM
1,THIRD PRONG. To take wireless station and Lighthouse,0.2569,0.4639,0.7139,0.0515,13,95.0,VLM
1,Initial stages Cut off and destroy power station between,0.2708,0.5103,0.6708,0.0503,14,92.0,VLM
1,"PANDAR - ANDO - REINE this place,",0.2833,0.5554,0.6153,0.0477,15,93.0,VLM
1,and junction line of oil refineries etc.,0.2708,0.5979,0.4597,0.0503,16,90.0,VLM
1,RESISTANCE:,0.0431,0.6405,0.1556,0.0477,17,97.0,VLM
1,AT WIRELESS STATION. LIGHTHOUSE complete surprise,0.2708,0.6327,0.7,0.0528,18,94.0,VLM
1,GERMANS AT REINE not aware SLIGHT resistance,0.2708,0.6804,0.6833,0.0477,19,93.0,VLM
1,at Summ. AGES OF ENEMY 16 to 45.,0.2778,0.7152,0.6389,0.0503,20,95.0,VLM
1,QUISLING. FRIGHTENED. ONE ESCAPED CAPTURED,0.2708,0.7513,0.6639,0.0567,21,96.0,VLM
1,CHEST HIGH IN FREEZING WATER,0.2861,0.7977,0.4986,0.0515,22,94.0,VLM
1,POPULATION Took us for Germans the Americans,0.2778,0.8363,0.6097,0.0606,23,92.0,VLM
1,overjoyed at BRITISH. IRISH troop.,0.2778,0.8814,0.5472,0.0554,24,91.0,VLM
1,Description of Norwegian,0.2819,0.9278,0.3125,0.0477,25,89.0,VLM
